#    Temp  PTF_R_AB   u       g      r      i      z       U      B      V      R      I
  40370.2    -3.87   -2.83  -3.26  -3.76  -4.12  -4.46   -2.05  -3.28  -3.55  -3.66  -3.79
  43287.6    -4.08   -3.02  -3.46  -3.97  -4.33  -4.67   -2.23  -3.48  -3.75  -3.86  -4.00
  46415.9    -4.28   -3.20  -3.66  -4.17  -4.54  -4.88   -2.42  -3.67  -3.95  -4.07  -4.21
  49770.2    -4.49   -3.39  -3.86  -4.38  -4.75  -5.10   -2.61  -3.87  -4.15  -4.28  -4.42
  53367.0    -4.70   -3.59  -4.06  -4.59  -4.97  -5.31   -2.81  -4.07  -4.36  -4.49  -4.64
  57223.7    -4.91   -3.78  -4.26  -4.80  -5.18  -5.53   -3.00  -4.27  -4.57  -4.70  -4.85
  61359.1    -5.12   -3.98  -4.47  -5.01  -5.39  -5.74   -3.20  -4.48  -4.78  -4.91  -5.07
  65793.3    -5.34   -4.18  -4.67  -5.22  -5.61  -5.96   -3.40  -4.68  -4.99  -5.13  -5.28
  70548.0    -5.55   -4.38  -4.88  -5.44  -5.82  -6.18   -3.61  -4.89  -5.20  -5.34  -5.50
  75646.3    -5.77   -4.59  -5.09  -5.65  -6.04  -6.40   -3.81  -5.10  -5.41  -5.56  -5.72
  81113.1    -5.98   -4.79  -5.30  -5.87  -6.26  -6.61   -4.02  -5.31  -5.63  -5.77  -5.93
  86974.9    -6.20   -5.00  -5.52  -6.08  -6.48  -6.83   -4.23  -5.52  -5.84  -5.99  -6.15
  93260.3    -6.42   -5.21  -5.73  -6.30  -6.70  -7.05   -4.43  -5.74  -6.06  -6.21  -6.37
 100000.0    -6.63   -5.42  -5.94  -6.52  -6.91  -7.27   -4.65  -5.95  -6.27  -6.42  -6.59
 107226.7    -6.85   -5.63  -6.16  -6.73  -7.13  -7.50   -4.86  -6.16  -6.49  -6.64  -6.81
 114975.7    -7.07   -5.84  -6.37  -6.95  -7.35  -7.72   -5.07  -6.38  -6.71  -6.86  -7.03
 123284.7    -7.29   -6.05  -6.59  -7.17  -7.57  -7.94   -5.28  -6.59  -6.92  -7.08  -7.25
 132194.1    -7.51   -6.26  -6.80  -7.39  -7.79  -8.16   -5.49  -6.81  -7.14  -7.30  -7.47
 141747.4    -7.73   -6.48  -7.02  -7.60  -8.01  -8.38   -5.70  -7.02  -7.36  -7.51  -7.69
 151991.1    -7.94   -6.69  -7.23  -7.82  -8.23  -8.59   -5.92  -7.23  -7.57  -7.73  -7.90
 162975.1    -8.15   -6.89  -7.44  -8.03  -8.44  -8.81   -6.12  -7.44  -7.78  -7.94  -8.12
 174752.8    -8.36   -7.10  -7.65  -8.24  -8.65  -9.02   -6.33  -7.65  -7.99  -8.15  -8.33
 187381.7    -8.57   -7.30  -7.85  -8.45  -8.86  -9.22   -6.53  -7.85  -8.20  -8.36  -8.54
 200923.3    -8.77   -7.50  -8.05  -8.65  -9.06  -9.43   -6.73  -8.05  -8.40  -8.56  -8.74
 215443.5    -8.96   -7.69  -8.24  -8.84  -9.25  -9.62   -6.92  -8.24  -8.59  -8.75  -8.93
 231013.0    -9.15   -7.87  -8.43  -9.03  -9.44  -9.81   -7.10  -8.43  -8.78  -8.94  -9.12
 247707.6    -9.33   -8.05  -8.61  -9.21  -9.62  -9.99   -7.28  -8.61  -8.96  -9.12  -9.30
 265608.8    -9.50   -8.22  -8.78  -9.38  -9.79 -10.16   -7.45  -8.78  -9.13  -9.29  -9.47
 284803.6    -9.67   -8.38  -8.94  -9.54  -9.96 -10.33   -7.61  -8.94  -9.29  -9.46  -9.64
 305385.6    -9.82   -8.53  -9.10  -9.70 -10.11 -10.49   -7.76  -9.10  -9.45  -9.61  -9.79
 327454.9    -9.97   -8.68  -9.24  -9.85 -10.26 -10.63   -7.91  -9.24  -9.59  -9.76  -9.94
 351119.2   -10.11   -8.82  -9.38  -9.98 -10.40 -10.77   -8.05  -9.38  -9.73  -9.90 -10.08
 376493.6   -10.24   -8.94  -9.51 -10.11 -10.53 -10.90   -8.17  -9.51  -9.86 -10.03 -10.21
 403701.7   -10.36   -9.06  -9.63 -10.24 -10.65 -11.03   -8.29  -9.63  -9.98 -10.15 -10.33
 432876.1   -10.48   -9.18  -9.74 -10.35 -10.77 -11.14   -8.41  -9.74 -10.10 -10.26 -10.45
 464158.9   -10.58   -9.28  -9.85 -10.46 -10.87 -11.25   -8.51  -9.85 -10.20 -10.37 -10.56
 497702.4   -10.68   -9.38  -9.95 -10.56 -10.97 -11.35   -8.61  -9.95 -10.30 -10.47 -10.66
 533669.9   -10.77   -9.47 -10.04 -10.65 -11.07 -11.44   -8.70 -10.04 -10.39 -10.56 -10.75
 572236.8   -10.86   -9.55 -10.12 -10.73 -11.15 -11.53   -8.79 -10.12 -10.48 -10.65 -10.83
 613590.7   -10.94   -9.63 -10.20 -10.81 -11.23 -11.61   -8.86 -10.20 -10.56 -10.73 -10.91
 657933.2   -11.01   -9.71 -10.28 -10.89 -11.31 -11.68   -8.94 -10.28 -10.63 -10.80 -10.99
 705480.2   -11.08   -9.77 -10.35 -10.96 -11.38 -11.75   -9.01 -10.35 -10.70 -10.87 -11.06
 756463.3   -11.15   -9.84 -10.41 -11.02 -11.44 -11.82   -9.07 -10.41 -10.77 -10.94 -11.12
 811130.8   -11.21   -9.89 -10.47 -11.08 -11.50 -11.87   -9.13 -10.47 -10.82 -10.99 -11.18
 869749.0   -11.26   -9.95 -10.52 -11.13 -11.55 -11.93   -9.18 -10.52 -10.88 -11.05 -11.24
 932603.3   -11.31  -10.00 -10.57 -11.19 -11.61 -11.98   -9.23 -10.57 -10.93 -11.10 -11.29
1000000.0   -11.36  -10.05 -10.62 -11.23 -11.65 -12.03   -9.28 -10.62 -10.98 -11.15 -11.33
